	start_time	end_time	dayOfWeek	size
1694	9.5	10.833333333333334	TuTh     	71
1695	12.5	13.833333333333334	TuTh     	61
1696	17.0	19.833333333333332	M      	81
1697	18.5	19.833333333333332	TuTh     	32
1698	15.5	16.833333333333332	TuTh     	27
1699	9.0	9.833333333333334	MWF    	43
1700	9.0	9.833333333333334	MWF    	39
1701	11.0	12.333333333333334	TuTh     	37
1702	13.0	13.833333333333334	MWF    	24
1703	11.0	11.833333333333334	MWF    	7
1704	14.0	15.333333333333334	TuTh     	6
1705	9.0	9.833333333333334	MWF    	9
1706	17.0	19.833333333333332	W      	47
1707	13.0	15.833333333333334	W      	7
1708	11.0	12.833333333333334	Tu      	19
1709	13.0	14.833333333333334	Tu      	18
1710	15.0	16.833333333333332	Tu      	16
1711	11.0	12.833333333333334	W      	20
1712	13.0	14.833333333333334	W      	20
1713	15.0	16.833333333333332	W      	19
1714	9.5	10.833333333333334	TuTh     	76
1715	10.0	10.833333333333334	MWF    	93
1716	8.0	9.333333333333334	TuTh     	103
1717	15.5	16.833333333333332	TuTh     	98
1718	9.0	9.833333333333334	MWF    	68
1719	10.0	11.833333333333334	F      	13
1720	13.0	14.833333333333334	F      	17
1721	16.0	16.833333333333332	W      	18
1722	18.5	20.333333333333332	TuTh     	81
1723	15.5	16.833333333333332	TuTh     	19
1724	12.5	13.833333333333334	TuTh     	19
1725	10.0	11.833333333333334	MW     	18
1726	12.0	13.833333333333334	TuTh     	10
1727	12.0	13.833333333333334	MW     	9
1728	9.0	10.833333333333334	M      	11
1729	17.5	10.333333333333334	MTuWThF  	4
1730	11.0	12.333333333333334	Tu      	16
1731	12.5	13.833333333333334	Tu      	14
1732	15.5	16.833333333333332	W      	19
1733	14.0	15.333333333333334	Th      	14
1734	15.5	16.833333333333332	Th      	19
1735	8.5	9.833333333333334	Tu      	13
1736	17.5	10.333333333333334	MTuWThF  	5
1737	9.0	11.833333333333334	M      	10
1738	11.0	13.833333333333334	Th      	12
1739	17.5	10.333333333333334	MTuWThF  	2
1740	10.0	11.833333333333334	TuTh     	19
1741	10.0	10.833333333333334	M      	18
1742	8.0	9.333333333333334	TuTh     	17
1743	8.0	9.333333333333334	TuTh     	18
1744	14.0	15.833333333333334	Th      	16
1745	10.0	10.833333333333334	MWF    	13
1746	11.0	12.333333333333334	TuTh     	17
1747	11.0	12.333333333333334	TuTh     	14
1748	10.0	10.833333333333334	M      	26
1749	13.0	13.833333333333334	W      	25
1750	13.0	13.833333333333334	W      	14
1751	14.0	14.833333333333334	W      	19
1752	15.0	15.833333333333334	W      	12
1753	16.0	16.833333333333332	W      	9
1754	17.0	17.833333333333332	W      	13
1755	9.0	9.833333333333334	W      	9
1756	10.0	10.833333333333334	W      	14
1757	11.0	11.833333333333334	W      	8
1758	14.0	14.833333333333334	Tu      	12
1759	9.5	10.333333333333334	Th      	9
1760	14.0	14.833333333333334	M      	2
1761	16.5	17.833333333333332	Th      	10
1762	10.0	10.833333333333334	W      	28
1763	11.0	11.833333333333334	W      	24
1764	12.0	12.833333333333334	W      	26
1765	13.0	13.833333333333334	W      	23
1766	14.0	15.333333333333334	TuTh     	15
1767	14.0	14.833333333333334	MWF    	19
1768	12.5	13.833333333333334	TuTh     	64
1769	9.0	9.833333333333334	MWF    	8
1770	17.0	19.833333333333332	Tu      	28
1771	16.0	16.833333333333332	W      	14
1772	17.0	17.833333333333332	W      	16
1773	14.0	16.833333333333332	Tu      	13
1774	14.0	16.833333333333332	M      	14
1775	12.0	13.833333333333334	MW     	22
1776	16.0	17.833333333333332	MW     	24
1777	8.0	9.833333333333334	MW     	21
1778	10.0	11.833333333333334	MW     	22
1779	12.0	13.833333333333334	MW     	24
1780	14.0	15.833333333333334	MW     	21
1781	16.0	17.833333333333332	MW     	21
1782	8.0	9.833333333333334	TuTh     	23
1783	8.0	9.833333333333334	TuTh     	22
1784	10.0	11.833333333333334	TuTh     	22
1785	14.0	15.833333333333334	TuTh     	22
1786	12.0	13.833333333333334	MW     	24
1787	11.0	11.833333333333334	M      	30
1788	12.0	12.833333333333334	M      	31
1789	12.5	13.333333333333334	Th      	31
1790	13.5	14.333333333333334	Th      	31
1791	12.0	14.833333333333334	W      	14
1792	12.0	14.833333333333334	M      	24
1793	12.0	14.833333333333334	F      	22
1794	8.0	9.833333333333334	MW     	20
1795	10.0	11.833333333333334	MW     	22
1796	14.0	15.833333333333334	MW     	24
1797	10.0	11.833333333333334	TuTh     	22
1798	15.5	17.333333333333332	TuTh     	19
1799	17.5	19.333333333333332	TuTh     	22
1800	12.0	14.833333333333334	M      	21
1801	12.0	14.833333333333334	M      	21
1802	9.5	12.333333333333334	Tu      	20
1803	9.5	12.333333333333334	Tu      	20
1804	9.0	10.333333333333334	MW     	20
1805	10.5	11.833333333333334	MW     	20
1806	12.5	13.833333333333334	TuTh     	19
1807	12.5	13.833333333333334	TuTh     	22
1808	8.0	9.833333333333334	W      	37
1809	9.0	10.833333333333334	Th      	38
1810	11.0	12.833333333333334	Th      	37
1811	15.0	17.833333333333332	W      	11
